,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
575,Šime Vrsaljko\46a8347f,DF,hr Croatia,26,1992,6,6,606,6.7,0,1,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,0.1,0.1,0.6,0.7,0.01,0.10,0.11,0.01,0.11,Matches
576,Moussa Wagué\808df563,DF,sn Senegal,19,1998,3,2,197,2.2,1,0,1,0,0,0,0,0.46,0.00,0.46,0.46,0.46,0.1,0.1,0.4,0.5,0.06,0.17,0.23,0.06,0.23,Matches
577,Kyle Walker\86dd77d1,DF,eng England,28,1990,5,5,493,5.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
578,Rodney Wallace\4fe634dd,FW,cr Costa Rica,29,1988,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
579,Amr Warda\901d3e51,MFFW,eg Egypt,24,1993,3,1,154,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.02,0.07,0.05,0.07,Matches
580,Kendall Waston\02ea59b0,DF,cr Costa Rica,30,1988,1,1,90,1.0,1,0,1,0,0,1,0,1.00,0.00,1.00,1.00,1.00,0.1,0.1,0.0,0.1,0.08,0.00,0.08,0.08,0.08,Matches
581,Danny Welbeck\ce5143da,FW,eng England,27,1990,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.86,0.00,0.86,0.86,0.86,Matches
582,Timo Werner\49fe9070,FW,de Germany,22,1996,3,3,265,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.8,1.5,0.26,0.26,0.53,0.26,0.53,Matches
583,Willian\8b9ebd03,FW,br Brazil,29,1988,5,5,359,4.0,0,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,0.1,0.1,1.3,1.5,0.04,0.33,0.37,0.04,0.37,Matches
584,Axel Witsel\5dfc6ad5,MF,be Belgium,29,1989,6,6,539,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.04,0.01,0.05,0.04,0.05,Matches
585,Jung Woo-young\858a34b8,MF,kr Korea Republic,28,1989,3,1,128,1.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05,Matches
586,Granit Xhaka\e61b8aee,MF,ch Switzerland,25,1992,4,4,360,4.0,1,0,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25,0.1,0.1,0.1,0.1,0.02,0.02,0.03,0.02,0.03,Matches
587,Hotaru Yamaguchi\8c147c14,MF,jp Japan,27,1990,3,1,111,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
588,Go Yo-han\fbc52591,MF,kr Korea Republic,30,1988,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.09,0.09,0.00,0.09,Matches
589,Édgar Yoel Bárcenas\b39849eb,FW,pa Panama,24,1993,3,3,220,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.9,1.3,0.17,0.35,0.53,0.17,0.53,Matches
590,Lee Yong\95e57652,DF,kr Korea Republic,31,1986,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
591,Maya Yoshida\caffaf5a,DF,jp Japan,29,1988,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.05,0.00,0.05,0.05,0.05,Matches
592,Yoshimar Yotún\b6af8c85,MF,pe Peru,28,1990,3,3,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.02,0.04,0.06,0.02,0.06,Matches
593,Ashley Young\be927d03,MFDF,eng England,32,1985,5,5,461,5.1,0,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,0.1,0.1,0.3,0.4,0.03,0.06,0.08,0.03,0.08,Matches
594,Kim Young-gwon\9459ace1,DF,kr Korea Republic,28,1990,3,3,270,3.0,1,0,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,0.5,0.5,0.0,0.5,0.16,0.00,0.16,0.16,0.16,Matches
595,Yun Young-sun\3ce8104c,DF,kr Korea Republic,29,1988,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
596,Denis Zakaria\384d58d9,MF,ch Switzerland,21,1996,2,0,52,0.6,0,1,0,0,0,1,0,0.00,1.73,1.73,0.00,1.73,0.0,0.0,0.1,0.1,0.00,0.20,0.20,0.00,0.20,Matches
597,Cristián Zapata\b1deecf8,DF,co Colombia,31,1986,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
598,Yuri Zhirkov\ed2b33cb,DFMF,ru Russia,34,1983,3,3,220,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
599,Piotr Zieliński\a5296e55,MFFW,pl Poland,24,1994,3,3,258,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.01,0.05,0.03,0.05,Matches
600,Andrija Živković\321f83a2,MFFW,rs Serbia,21,1996,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.08,0.91,0.99,0.08,0.99,Matches
601,Hakim Ziyech\6622454d,FWMF,ma Morocco,25,1993,3,3,264,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,1.1,0.16,0.22,0.38,0.16,0.38,Matches
602,Roman Zobnin\0a215326,MF,ru Russia,24,1994,5,5,510,5.7,0,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,0.2,0.2,0.6,0.8,0.04,0.10,0.15,0.04,0.15,Matches
603,Steven Zuber\b6a6e0a7,FW,ch Switzerland,26,1991,3,3,251,2.8,1,0,1,0,0,0,0,0.36,0.00,0.36,0.36,0.36,0.3,0.3,0.4,0.7,0.11,0.15,0.26,0.11,0.26,Matches
604,Hannes Þór Halldórsson\0f276764,GK,is Iceland,34,1984,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
